Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
367029	55	Predicted	1000.000	10	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=19eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 448.12@hcd45.00 [100.00-2000.00]	2.21	0.77	160.09
367029	56	Predicted	1000.000	11	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=18eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 434.88@hcd45.00 [100.00-2000.00]	2.21	0.77	160.00
367029	57	On	126.678	1	0	0.68	1	371.1014	0	T=1e6 PvR=2e4 iWf	MCal=9h RF=2300V TmpDiff	30000	47492158.701	2215654.654		FTMS + p NSI Full ms [300.00-1800.00]	2.21	0.77	160.00
367029	58	Predicted	1000.000	2	1	1.42	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=17eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 413.27@hcd45.00 [100.00-2000.00]	2.21	0.76	160.03
367029	59	Predicted	1000.000	3	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=13eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 302.01@hcd45.00 [100.00-1825.00]	2.21	0.76	160.03
367029	60	Predicted	1000.000	4	1	1.36	2	385.2352	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=27eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 385.24@hcd45.00 [100.00-785.00]	2.21	0.76	160.09
367029	61	Predicted	1000.000	5	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=16eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 371.32@hcd45.00 [100.00-2000.00]	2.21	0.76	160.09
367029	62	Predicted	1000.000	6	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=12eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 300.82@hcd45.00 [100.00-1815.00]	2.21	0.75	160.03
367029	63	Predicted	1000.000	7	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=14eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 334.81@hcd45.00 [100.00-2000.00]	2.21	0.77	159.88
367029	64	Predicted	1000.000	8	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=14eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 346.79@hcd45.00 [100.00-2000.00]	2.21	0.77	159.88
