Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		1959.9173
2	1	IodoAcet:15	1738.75395
3	1	Acetyl:1	3207.59876
4	0		1472.83504
5	0		1563.67353
6	1	Acetyl:1	2434.34302
7	0		1249.6302
8	0		1547.70627
9	1	Acetyl:1	1727.86891
10	1	IodoAcet:7	1659.79258
11	1	Acetyl:1	1576.79569
12	1	IodoAcet:13	1687.86363
13	0		1444.78848
14	0		1187.62981
15	0		2020.95481
16	0		1654.74338
17	1	IodoAcet:3	1435.64011
18	0		1688.84811
19	0		1071.59237
20	0		1586.82632
21	0		1696.87432
22	0		1414.70515
23	0		1797.838
24	0		1909.78261
25	1	Acetyl:1	1825.96453
26	0		1699.92563
27	0		1360.58543
28	0		1299.67821
29	0		1453.75646
30	1	IodoAcet:11	1315.59383
31	0		1937.93698
32	1	IodoAcet:9	1500.78704
33	0		1675.87802
34	0		1742.81193
35	0		2588.38085
36	2	Acetyl:1,IodoAcet:3	1827.84204
37	0		1995.96895
38	0		1258.65166
39	0		1096.55123
40	0		1702.87366
41	0		1927.90635
42	1	Acetyl:1	1224.6098
43	0		1505.7725
44	0		1941.90674
45	0		1787.98795
46	0		1868.95911
47	0		1220.54549
48	0		1299.65306
49	1	Acetyl:1	2038.02916
50	0		1445.70443
51	0		1561.76953
52	1	IodoAcet:10	1607.83405
53	0		2414.19775
54	0		1459.70146
55	0		1518.69498
56	1	Plus1Oxy:1	1834.83075
57	0		1315.73466
58	0		1415.72555
59	0		1546.73348
60	1	IodoAcet:3	1692.77766
61	0		1274.62143
62	2	IodoAcet:11,IodoAcet:16	1875.83551
63	1	IodoAcet:3	1903.87334
64	1	Acetyl:1	1701.83213
65	3	IodoAcet:5,IodoAcet:9,IodoAcet:23	2832.36793
66	2	Acetyl:1,IodoAcet:16	1820.79198
67	0		2880.35582
68	0		1744.84197
69	0		2162.04904
70	0		1519.78815
71	0		2295.29495
72	1	IodoAcet:7	2000.91486
73	0		1096.51485
74	2	Acetyl:1,Plus1Oxy:1	2054.02407
75	0		1531.71135
76	1	IodoAcet:4	1507.66461
77	0		1950.96861
78	1	IodoAcet:11	1532.65649
79	1	Acetyl:1	1582.74153
80	2	Plus1Oxy:1,IodoAcet:11	1511.65365
81	0		1500.76121
82	0		2444.13872
83	0		1689.8209
84	1	IodoAcet:2	1660.78783
85	0		1509.68812
86	0		1438.78194
87	0		2214.06258
88	2	IodoAcet:8,IodoAcet:10	1356.55501
89	1	IodoAcet:7	1927.90972
90	0		1473.68812
91	0		2141.07519
92	1	IodoAcet:9	2713.23355
93	0		1232.5884
94	0		1385.68983
95	0		2006.88567
96	0		1487.79429
97	0		1482.85175
98	1	IodoAcet:7	2487.18111
99	0		1734.91915
100	0		1577.7797
101	0		1385.75137
102	0		1635.81033
103	0		1778.86857
104	0		1335.7146
105	0		1493.73611
106	0		1071.62875
107	1	IodoAcet:7	1781.8188
108	0		1496.84964
